2020-06-08T12:04:37.162Z | INFO | 2020-06-08.log | Request recieved at /headlines | data:{"country":"in","category":"general","condition":"corona","language":"en"} | 
2020-06-08T12:04:37.656Z | INFO | 2020-06-08.log | NewsApi Headlines called  | data:"ok" | 
2020-06-08T13:44:35.705Z | INFO | 2020-06-08.log | Server started on port 8080). | 
2020-06-08T13:51:39.805Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T13:59:32.335Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:05:55.503Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:08:40.544Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:14:07.108Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:15:18.843Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:17:28.092Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:23:05.131Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:26:05.513Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:29:18.822Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:30:22.415Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:30:49.710Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:32:53.834Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:33:41.090Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:34:16.294Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:36:15.230Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:39:59.280Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:41:31.328Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:48:03.727Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:49:36.666Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:50:12.284Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T14:53:39.565Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:05:24.748Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:22:27.745Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:43:06.230Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:45:07.665Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:45:41.613Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:46:19.405Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:46:53.274Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T15:47:47.476Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T16:07:04.225Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T16:12:41.567Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T16:15:13.733Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T16:16:22.539Z | INFO | 2020-06-08.log | Server started on port 8080. | 
2020-06-08T16:18:44.283Z | INFO | 2020-06-08.log | Server started on port 8080. | 
